id,day,month,price
395889,weekday,11,101.0
395889,weekday,12,101.0
395889,weekend,1,88.0
395889,weekend,2,75.0
395889,weekend,3,91.6
395889,weekend,4,97.125
395889,weekend,5,108.22222222222223
395889,weekend,6,114.22222222222223
395889,weekend,7,101.0
395889,weekend,8,101.0
395889,weekend,9,101.0
395889,weekend,10,101.0
395889,weekend,11,101.0
395889,weekend,12,101.0
421290,weekday,1,55.30434782608695
421290,weekday,2,75.7
421290,weekday,3,97.19047619047619
421290,weekday,4,82.04545454545455
421290,weekday,5,100.0
421290,weekday,6,94.28571428571429
421290,weekday,7,110.65217391304348
421290,weekday,8,107.38095238095238
421290,weekday,9,110.0
421290,weekday,10,62.17391304347826
421290,weekday,11,55.0
421290,weekday,12,55.0
421290,weekend,1,117.5
421290,weekend,2,125.0
421290,weekend,3,154.4
421290,weekend,4,125.0
421290,weekend,5,125.0
421290,weekend,6,125.0
421290,weekend,7,125.0
421290,weekend,8,125.0
421290,weekend,9,125.0
421290,weekend,10,125.0
421290,weekend,11,125.0
421290,weekend,12,125.0
430052,weekday,1,59.91304347826087
430052,weekday,2,72.3
430052,weekday,3,91.9047619047619
430052,weekday,4,78.63636363636364
430052,weekday,5,99.31818181818181
430052,weekday,6,94.28571428571429
430052,weekday,7,110.65217391304348
430052,weekday,8,107.38095238095238
430052,weekday,9,110.0
430052,weekday,10,110.0
430052,weekday,11,55.0
430052,weekday,12,55.0
430052,weekend,1,116.625
430052,weekend,2,117.5
430052,weekend,3,154.7
430052,weekend,4,125.0
430052,weekend,5,125.0
430052,weekend,6,125.0
430052,weekend,7,125.0
430052,weekend,8,125.0
430052,weekend,9,125.0
430052,weekend,10,125.0
430052,weekend,11,125.0
430052,weekend,12,125.0
431258,weekday,1,100.0
431258,weekday,2,103.6
431258,weekday,3,188.38095238095238
431258,weekday,4,192.5909090909091
431258,weekday,5,222.72727272727272
431258,weekday,6,241.66666666666666
431258,weekday,7,230.43478260869566
431258,weekday,8,225.0
431258,weekday,9,250.0
431258,weekday,10,250.0
431258,weekday,11,225.0
431258,weekday,12,100.0
431258,weekend,1,295.0
431258,weekend,2,233.75
431258,weekend,3,293.5
431258,weekend,4,305.5
431258,weekend,5,295.0
431258,weekend,6,295.0
431258,weekend,7,295.0
431258,weekend,8,295.0
431258,weekend,9,295.0
431258,weekend,10,295.0
431258,weekend,11,295.0
431258,weekend,12,295.0
475134,weekday,1,137.0
475134,weekday,2,137.0
475134,weekday,3,137.0
475134,weekday,4,137.0
475134,weekday,5,137.0
475134,weekday,6,137.0
475134,weekday,7,137.0
475134,weekday,8,137.0
475134,weekday,9,137.0
475134,weekday,10,137.0
475134,weekday,11,137.0
475134,weekday,12,137.0
475134,weekend,1,137.0
475134,weekend,2,137.0
475134,weekend,3,137.0
475134,weekend,4,137.0
475134,weekend,5,137.0
475134,weekend,6,137.0
475134,weekend,7,137.0
475134,weekend,8,137.0
475134,weekend,9,137.0
475134,weekend,10,137.0
475134,weekend,11,137.0
475134,weekend,12,137.0
491172,weekday,1,92.0
491172,weekday,2,92.0
491172,weekday,3,92.0
491172,weekday,4,94.9090909090909
491172,weekday,5,101.13636363636364
491172,weekday,6,100.0
491172,weekday,7,92.0
491172,weekday,8,92.0
491172,weekday,9,92.0
491172,weekday,10,92.0
491172,weekday,11,92.0
491172,weekday,12,92.0
491172,weekend,1,92.0
491172,weekend,2,93.0
491172,weekend,3,97.8
491172,weekend,4,103.625
491172,weekend,5,96.11111111111111
491172,weekend,6,99.11111111111111
491172,weekend,7,92.0
491172,weekend,8,92.0
491172,weekend,9,92.0
491172,weekend,10,92.0
491172,weekend,11,92.0
491172,weekend,12,92.0
501570,weekday,1,92.0
501570,weekday,2,92.0
501570,weekday,3,92.0
501570,weekday,4,92.0
501570,weekday,5,92.0
501570,weekday,6,100.0
501570,weekday,7,92.0
501570,weekday,8,92.0
501570,weekday,9,92.0
501570,weekday,10,92.0
501570,weekday,11,92.0
501570,weekday,12,92.0
501570,weekend,1,92.0
501570,weekend,2,92.0
501570,weekend,3,92.0
501570,weekend,4,98.625
501570,weekend,5,92.55555555555556
501570,weekend,6,99.11111111111111
501570,weekend,7,92.0
501570,weekend,8,92.0
501570,weekend,9,92.0
501570,weekend,10,92.0
501570,weekend,11,92.0
501570,weekend,12,92.0
513664,weekday,1,90.0
513664,weekday,2,90.0
513664,weekday,3,90.0
513664,weekday,4,90.0
513664,weekday,5,90.0
513664,weekday,6,90.0
513664,weekday,7,90.0
513664,weekday,8,90.0
513664,weekday,9,90.0
513664,weekday,10,90.0
513664,weekday,11,90.0
513664,weekday,12,90.0
513664,weekend,1,90.0
513664,weekend,2,90.0
513664,weekend,3,90.0
513664,weekend,4,90.0
513664,weekend,5,90.0
513664,weekend,6,90.0
513664,weekend,7,90.0
513664,weekend,8,90.0
513664,weekend,9,90.0
513664,weekend,10,90.0
513664,weekend,11,90.0
513664,weekend,12,90.0
609655,weekday,1,97.3913043478261
609655,weekday,2,88.0
609655,weekday,3,88.0
609655,weekday,4,88.0
609655,weekday,5,98.45454545454545
609655,weekday,6,102.04761904761905
609655,weekday,7,104.21739130434783
609655,weekday,8,105.95238095238095
609655,weekday,9,106.0
609655,weekday,10,106.0
609655,weekday,11,106.0
609655,weekday,12,106.0
609655,weekend,1,97.0
609655,weekend,2,88.0
609655,weekend,3,88.0
609655,weekend,4,88.0
609655,weekend,5,98.33333333333333
609655,weekend,6,101.66666666666667
609655,weekend,7,104.0
609655,weekend,8,105.8
609655,weekend,9,106.0
609655,weekend,10,106.0
609655,weekend,11,106.0
609655,weekend,12,106.0
632636,weekday,1,95.04347826086956
632636,weekday,2,102.4
632636,weekday,3,135.1904761904762
632636,weekday,4,121.04545454545455
632636,weekday,5,128.0
632636,weekday,6,115.95238095238095
632636,weekday,7,95.0
632636,weekday,8,95.0
632636,weekday,9,95.0
632636,weekday,10,95.0
632636,weekday,11,95.0
632636,weekday,12,95.0
632636,weekend,1,147.125
632636,weekend,2,147.625
632636,weekend,3,170.0
632636,weekend,4,150.0
632636,weekend,5,149.77777777777777
632636,weekend,6,150.0
632636,weekend,7,150.0
632636,weekend,8,150.0
632636,weekend,9,150.0
632636,weekend,10,150.0
632636,weekend,11,150.0
632636,weekend,12,150.0
634515,weekday,1,89.0
634515,weekday,2,89.0
634515,weekday,3,89.0
634515,weekday,4,89.0
634515,weekday,5,89.0
634515,weekday,6,119.14285714285714
634515,weekday,7,89.0
634515,weekday,8,89.0
634515,weekday,9,89.0
634515,weekday,10,89.0
634515,weekday,11,89.0
634515,weekday,12,89.0
634515,weekend,1,122.5
634515,weekend,2,129.0
634515,weekend,3,129.0
634515,weekend,4,129.0
634515,weekend,5,129.0
634515,weekend,6,167.0
634515,weekend,7,129.0
634515,weekend,8,129.0
634515,weekend,9,129.0
634515,weekend,10,129.0
634515,weekend,11,129.0
634515,weekend,12,129.0
637425,weekday,1,90.0
637425,weekday,2,90.0
637425,weekday,3,90.0
637425,weekday,4,90.0
637425,weekday,5,90.4090909090909
637425,weekday,6,90.0952380952381
637425,weekday,7,90.0
637425,weekday,8,90.0
637425,weekday,9,90.0
637425,weekday,10,90.0
637425,weekday,11,90.0
637425,weekday,12,90.0
637425,weekend,1,90.0
637425,weekend,2,90.0
637425,weekend,3,90.0
637425,weekend,4,90.125
637425,weekend,5,90.0
637425,weekend,6,90.0
637425,weekend,7,90.0
637425,weekend,8,90.0
637425,weekend,9,90.0
637425,weekend,10,90.0
637425,weekend,11,90.0
637425,weekend,12,90.0
641688,weekday,1,38.130434782608695
641688,weekday,2,35.0
641688,weekday,3,35.0
641688,weekday,4,35.0
641688,weekday,5,36.54545454545455
641688,weekday,6,40.04761904761905
641688,weekday,7,41.0
641688,weekday,8,41.0
641688,weekday,9,41.0
641688,weekday,10,41.0
641688,weekday,11,41.0
641688,weekday,12,41.0
641688,weekend,1,41.0
641688,weekend,2,35.0
641688,weekend,3,35.0
641688,weekend,4,35.0
641688,weekend,5,39.0
641688,weekend,6,45.888888888888886
641688,weekend,7,47.0
641688,weekend,8,47.0
641688,weekend,9,47.0
641688,weekend,10,47.0
641688,weekend,11,47.0
641688,weekend,12,47.0
645985,weekday,1,24.565217391304348
645985,weekday,2,23.0
645985,weekday,3,23.0
645985,weekday,4,23.545454545454547
645985,weekday,5,24.681818181818183
645985,weekday,6,24.80952380952381
645985,weekday,7,25.82608695652174
645985,weekday,8,26.0
645985,weekday,9,26.0
645985,weekday,10,26.0
645985,weekday,11,26.0
645985,weekday,12,26.0
645985,weekend,1,27.5
645985,weekend,2,23.0
645985,weekend,3,23.0
645985,weekend,4,23.875
645985,weekend,5,23.77777777777778
645985,weekend,6,30.333333333333332
645985,weekend,7,32.0
645985,weekend,8,32.0
645985,weekend,9,32.0
645985,weekend,10,32.0
645985,weekend,11,32.0
645985,weekend,12,32.0
648088,weekday,1,101.8695652173913
648088,weekday,2,76.95
648088,weekday,3,83.38095238095238
648088,weekday,4,86.0
648088,weekday,5,82.31818181818181
648088,weekday,6,103.28571428571429
648088,weekday,7,118.1304347826087
648088,weekday,8,124.95238095238095
648088,weekday,9,125.0
648088,weekday,10,125.0
648088,weekday,11,125.0
648088,weekday,12,125.0
648088,weekend,1,103.875
648088,weekend,2,86.5
648088,weekend,3,95.8
648088,weekend,4,93.0
648088,weekend,5,87.33333333333333
648088,weekend,6,115.44444444444444
648088,weekend,7,117.25
648088,weekend,8,118.8
648088,weekend,9,119.0
648088,weekend,10,119.0
648088,weekend,11,119.0
648088,weekend,12,119.0
674159,weekday,1,176.08695652173913
674159,weekday,2,147.0
674159,weekday,3,147.0
674159,weekday,4,147.0
674159,weekday,5,147.0
674159,weekday,6,200.0
674159,weekday,7,150.0
674159,weekday,8,150.0
674159,weekday,9,150.0
674159,weekday,10,200.0
674159,weekday,11,150.0
674159,weekday,12,150.0
674159,weekend,1,175.0
674159,weekend,2,147.0
