id,last_scraped,host_since,host_listings_count,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,bed_type,price,security_deposit,cleaning_fee,review_scores_rating,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,has_availability,is_review,days_host
30794562,2019-01-17,2018-12-11,9,t,f,District 21,36.14806445460841,-86.80959777468443,Entire home/apt,Apartment,4,1.0,1,Real Bed,39.0,0.0,65.0,100.0,6,10.0,10.0,10.0,10.0,10.0,t,f,moderate,f,f,t,True,37
30794581,2019-01-17,2017-11-28,36,f,f,District 19,36.16784938642756,-86.78242261144794,Entire home/apt,Apartment,4,1.0,0,Real Bed,39.0,0.0,65.0,92.0,5,9.0,9.0,10.0,10.0,10.0,t,f,moderate,f,f,t,True,415
30795889,2019-01-17,2018-12-11,9,t,f,District 21,36.153396399581254,-86.80239581261546,Entire home/apt,Apartment,4,1.0,0,Real Bed,49.0,0.0,65.0,80.0,2,9.0,9.0,10.0,10.0,9.0,t,f,moderate,f,f,t,True,37
30796216,2019-01-17,2017-11-28,36,f,f,District 19,36.167591457127955,-86.78362110511908,Entire home/apt,Apartment,4,1.0,0,Real Bed,39.0,0.0,65.0,93.0,6,10.0,10.0,10.0,10.0,9.0,t,f,flexible,f,f,t,True,415
30796263,2019-01-17,2018-12-11,9,t,f,District 21,36.15189943130386,-86.80241453878179,Entire home/apt,Apartment,4,1.0,0,Real Bed,49.0,0.0,65.0,80.0,2,9.0,10.0,10.0,10.0,10.0,t,f,moderate,f,f,t,True,37
30796767,2019-01-17,2014-10-02,9,t,t,District 24,36.13977596191911,-86.82616591416351,Entire home/apt,House,8,2.0,3,Real Bed,250.0,300.0,150.0,0.0,0,0.0,0.0,0.0,0.0,0.0,f,f,moderate,f,f,t,False,1568
30796872,2019-01-17,2018-12-11,9,t,f,District 21,36.152167690033004,-86.80199637013253,Entire home/apt,Apartment,4,1.0,0,Real Bed,49.0,0.0,65.0,100.0,3,10.0,10.0,10.0,10.0,10.0,t,f,moderate,f,f,t,True,37
30796960,2019-01-17,2018-12-12,1,f,f,District 17,36.133927397154345,-86.78582209578043,Entire home/apt,House,10,2.0,4,Real Bed,250.0,0.0,75.0,100.0,2,10.0,10.0,10.0,10.0,9.0,t,f,strict_14_with_grace_period,f,f,t,True,36
30796966,2019-01-17,2018-12-12,1,f,f,District 11,36.22554368711569,-86.59011547049272,Private room,House,2,1.0,1,Real Bed,50.0,0.0,0.0,87.0,6,8.0,10.0,10.0,10.0,8.0,t,f,flexible,f,f,t,True,36
30797130,2019-01-17,2017-11-28,36,f,f,District 19,36.168973125895455,-86.78239640304719,Entire home/apt,Apartment,4,1.0,0,Real Bed,39.0,0.0,65.0,80.0,2,7.0,10.0,10.0,10.0,8.0,t,f,moderate,f,f,t,True,415
30797606,2019-01-17,2017-11-28,36,f,f,District 19,36.16911216301149,-86.78425452945267,Entire home/apt,Apartment,4,1.0,0,Real Bed,39.0,0.0,65.0,88.0,5,10.0,10.0,10.0,10.0,9.0,t,f,flexible,f,f,t,True,415
